map 	00:1F:1F:29:A8:68 	hyunjoon 		infra 	1970-01-01 09:00:00 	2013-05-05 19:24:30 	WPA 	37.41997910 	126.90820312 	5 		4 					
map 	00:02:A8:9F:58:ED 	myLGNet101 		infra 	2013-04-19 06:40:27 	2013-04-18 20:57:49 	WEP 	37.41977692 	126.90828705 	1 		0 					
map 	00:08:5B:4D:A1:29 	U+NetA12B 		infra 	2013-05-06 06:42:02 	2013-05-05 19:25:05 	WPA2 	37.41986847 	126.90828705 	3 		0 					
map 	00:17:C3:B7:16:E6 	KT_WLAN_B76E 		infra 	2013-04-19 06:40:27 	2013-04-18 20:57:48 	WPA2 	37.41977692 	126.90828705 	5 		0 					
map 	00:1D:33:0A:29:65 	t-broadzone 		infra 	2013-05-06 06:42:02 	2013-05-05 19:24:47 	WPA2 	37.41986847 	126.90828705 	8 		0 					
map 	00:26:66:78:45:A4 	popoi 		infra 	1970-01-01 09:00:00 	2013-04-18 20:57:50 	? 	37.41977692 	126.90828705 	13 		0 					
map 	00:26:66:9A:41:20 	iptime 		infra 	2013-04-19 06:40:27 	2013-04-18 20:57:46 	WPA2 	37.41977692 	126.90828705 	1 		0 					
map 	00:80:48:68:B7:EC 	UTIS-LINK-5657 		infra 	2013-04-19 06:40:27 	2013-04-18 20:57:46 	? 	37.41977692 	126.90828705 	60 		0 					
map 	06:1F:1F:BD:A2:F8 	KT_WLAN_9CC2 		infra 	1970-01-01 09:00:00 	2013-04-18 20:57:46 	WPA2 	37.41977692 	126.90828705 	9 		0 					
map 	08:10:76:89:B1:3F 	s211813-1 		infra 	2013-04-19 06:40:27 	2013-04-18 20:57:45 	WPA2 	37.41977692 	126.90828705 	1 		0 					
map 	00:17:B2:01:A8:69 			infra 	1970-01-01 09:00:00 	2013-03-05 01:33:44 	WPA2 	37.41997528 	126.90829468 	13 		0 					
map 	00:50:18:59:76:90 	unicornpocari 		infra 	1970-01-01 09:00:00 	2013-03-05 01:33:44 	WPA2 	37.41997528 	126.90829468 	11 		0 					
map 	00:02:A8:BC:48:B5 	myLGNet 		infra 	2013-02-21 10:48:30 	2013-05-05 19:25:05 	WEP 	37.41989136 	126.90834045 	9 		6 					
map 	00:17:B2:01:A8:7A 	T wifi zone_secure 		infra 	2012-06-06 10:19:47 	2013-05-05 19:24:47 	WPA2 	37.41998291 	126.90835571 	13 		6 					
map 	00:01:36:26:EB:7F 			infra 	2013-02-23 13:04:14 	2013-03-05 01:33:44 	WPA 	37.41992950 	126.90836334 	1 		1 					
map 	00:40:5A:CC:85:10 			infra 	2013-03-05 15:23:12 	2013-03-05 01:33:46 	WPA 	37.41983414 	126.90839386 	2 		0 					
map 	00:17:B2:01:AD:92 	T wifi zone_secure 		infra 	2013-02-21 10:48:10 	2013-05-05 19:24:47 	WPA2 	37.41974640 	126.90842438 	13 		6 					
map 	00:17:B2:01:AD:90 	T wifi zone 		infra 	2012-06-06 10:19:47 	2013-05-05 19:25:05 	(none) 	37.41978073 	126.90844727 	13 		6 					
map 	00:08:9F:DC:10:60 	mingang 		infra 	2013-04-30 22:44:17 	2013-05-05 19:22:06 	WPA2 	37.41952133 	126.90845490 	9 		0 					
map 	04:17:B2:04:91:E0 	T wifi zone 		infra 	2013-04-30 22:44:17 	2013-05-05 19:21:58 	? 	37.41952133 	126.90845490 	52 		0 					
map 	06:17:B2:04:91:E2 	T wifi zone_secure 		infra 	2013-04-30 22:44:17 	2013-05-05 19:22:00 	WPA2 	37.41952133 	126.90845490 	52 		0 					
map 	06:30:0D:54:9C:11 	T wifi zone_secure 		infra 	2013-02-21 10:48:45 	2013-04-18 20:57:49 	WPA2 	37.41965866 	126.90845490 	9 		1 					
map 	10:6F:3F:61:4D:80 	106F3F614D80-1 		infra 	2013-04-30 22:44:17 	2013-05-05 19:22:00 	WEP 	37.41952133 	126.90845490 	6 		0 					
map 	10:6F:3F:61:4D:84 	106F3F614D80 		infra 	2013-04-30 22:44:17 	2013-05-05 19:22:13 	? 	37.41952133 	126.90845490 	6 		0 					
map 	00:08:9F:64:28:74 	iptime 		infra 	2013-02-21 10:48:52 	2013-05-05 19:25:05 	WPA 	37.41969681 	126.90847015 	1 		6 					
map 	00:1D:33:0E:21:B6 	Tbroadnet 		infra 	2013-01-13 14:53:19 	2013-05-05 19:24:47 	WEP 	37.41991043 	126.90847015 	8 		5 					
map 	00:30:0D:54:9C:11 	T wifi zone 		infra 	2013-02-21 10:48:45 	2013-04-18 20:57:45 	(none) 	37.41971588 	126.90853119 	9 		3 					
map 	00:0A:EB:45:07:DB 	BR1100WL_4507db 		infra 	2013-03-05 15:23:15 	2013-05-05 19:22:00 	WEP 	37.41948318 	126.90855408 	9 		3 					
map 	00:26:66:F2:24:04 	MIN&JUN 		infra 	2013-03-05 15:23:16 	2013-05-05 19:25:10 	WPA2 	37.41956711 	126.90858459 	5 		2 					
map 	00:50:18:54:42:4E 	sky 		infra 	2013-03-05 15:23:15 	2013-04-29 01:31:41 	WPA 	37.41949081 	126.90859985 	11 		3 					
map 	00:26:66:55:B2:FE 	wi-pie 		infra 	2012-06-06 10:19:47 	2013-05-05 19:25:00 	WPA2 	37.41958618 	126.90863800 	1 		6 					
map 	08:10:74:FB:8C:FE 	sung 		infra 	2013-03-05 15:23:15 	2013-05-05 19:25:00 	WPA2 	37.41939163 	126.90864563 	6 		4 					
map 	00:17:B2:01:AE:7A 	T wifi zone_secure 		infra 	2012-06-06 10:19:47 	2013-05-05 19:24:47 	WPA2 	37.41955566 	126.90866089 	13 		6 					
map 	00:08:9F:1C:3B:0C 	iptime 		infra 	2013-04-19 06:40:31 	2013-05-05 19:22:06 	WEP 	37.41926193 	126.90866852 	11 		1 					
map 	02:30:0D:61:24:A6 			infra 	2013-03-05 15:23:11 	2013-03-05 01:33:45 	WPA2 	37.41947174 	126.90867615 	1 		0 					
map 	00:17:B2:01:AE:78 	T wifi zone 		infra 	2012-06-06 10:19:47 	2013-05-05 19:25:05 	(none) 	37.41950989 	126.90868378 	13 		6 					
map 	00:26:66:FD:0B:20 	iptime 		infra 	2013-03-05 15:23:13 	2013-03-05 01:33:50 	WPA2 	37.41947937 	126.90868378 	1 		0 					
map 	00:90:A2:1B:F3:61 	U+NetF363 		infra 	2013-02-23 13:04:12 	2013-02-28 09:07:10 	WPA2 	37.41965866 	126.90869141 	1 		0 					
map 	04:17:B2:04:92:58 	T wifi zone 		infra 	2013-04-29 06:41:02 	2013-04-29 01:31:42 	? 	37.41936874 	126.90871429 	153 		0 					
map 	06:17:B2:04:92:5A 	T wifi zone_secure 		infra 	2013-04-29 06:41:02 	2013-04-29 01:31:42 	WPA2 	37.41936874 	126.90871429 	153 		0 					
map 	06:17:B2:04:97:5E 	T wifi zone_secure 		infra 	2013-04-29 06:41:02 	2013-04-29 01:31:39 	WPA2 	37.41936874 	126.90871429 	58 		0 					
map 	00:26:66:1C:D7:20 	minibell 		infra 	2013-03-05 15:23:13 	2013-05-05 19:24:30 	WPA2 	37.41926193 	126.90874481 	11 		4 					
map 	00:1D:33:0E:21:B4 	t-broadzone 		infra 	2013-01-13 14:53:21 	2013-05-05 19:21:58 	WPA2 	37.41965103 	126.90876007 	8 		4 					
